Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEP,American Electric Power Company Inc. Common Stock,$88.76,-0.54,-0.605%,45610540059.00,United States,,2006502,Utilities,Electric Utilities: Central
CEG,Constellation Energy Corporation Common Stock ,$78.64,0.57,0.73%,25725588288.00,United States,,3110534,Utilities,Power Generation
EVRG,Evergy Inc. Common Stock,$58.78,-0.02,-0.034%,13492148710.00,United States,,1733885,Utilities,Power Generation
EXC,Exelon Corporation Common Stock,$40.59,-0.66,-1.60%,40351612129.00,United States,,5046443,Utilities,Power Generation
LNT,Alliant Energy Corporation Common Stock,$51.26,-0.31,-0.601%,12867379006.00,United States,,1393462,Utilities,Power Generation
XEL,Xcel Energy Inc. Common Stock,$64.25,-0.15,-0.233%,35160715868.00,United States,,3239090,Utilities,Power Generation
