Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EQIX,Equinix Inc. Common Stock REIT,$682.88,-11.14,-1.605%,63333509613.00,United States,2000,428588,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$51.69,-1.68,-3.148%,13311049853.00,United States,,1738219,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,$16.10,-0.87,-5.127%,11485740000.00,United States,,8661455,Real Estate,Real Estate Investment Trusts
LAMR,Lamar Advertising Company Class A Common Stock,$100.98,-4.14,-3.938%,10267996801.00,United States,1996,478330,Real Estate,Real Estate Investment Trusts
REG,Regency Centers Corporation Common Stock,$60.61,-1.35,-2.179%,10382973455.00,United States,1993,600624,Real Estate,Real Estate Investment Trusts
SBAC,SBA Communications Corporation Class A Common Stock,$243.77,-6.19,-2.476%,26318759198.00,United States,1999,1083527,Real Estate,Real Estate Investment Trusts
