Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APA,APA Corporation Common Stock,$37.01,-1.48,-3.845%,11899151755.00,United States,,5387806,Energy,Oil & Gas Production
BKR,Baker Hughes Company Class A Common Stock,$30.06,-1.37,-4.359%,30397204212.00,United States,,4935088,Energy,Oilfield Services/Equipment
CHK,Chesapeake Energy Corporation Common Stock,$76.53,-1.90,-2.423%,10252811038.00,United States,,1065670,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Common Stock,$139.94,-2.55,-1.79%,25457685665.00,United States,2012,1704842,Energy,Oil & Gas Production
IEP,Icahn Enterprises L.P. Common Stock,$52.95,-0.80,-1.488%,17869245705.00,United States,,1521763,Energy,Integrated oil Companies
