Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EXTR,Extreme Networks Inc. Common Stock,$17.62,-0.28,-1.564%,2276194381.00,United States,1999,1105046,Telecommunications,Telecommunications Equipment
IDCC,InterDigital Inc. Common Stock,$73.86,-0.10,-0.135%,2191281730.00,United States,,511644,Telecommunications,Telecommunications Equipment
ROKU,Roku Inc. Class A Common Stock,$60.52,-2.72,-4.301%,8479417741.00,United States,2017,8513747,Telecommunications,Cable & Other Pay Television Services
