Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
KDP,Keurig Dr Pepper Inc. Common Stock,$34.56,-0.22,-0.633%,48945645170.00,United States,,6029605,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$37.79,-0.13,-0.343%,46292877617.00,United States,,6423788,Consumer Staples,Farming/Seeds/Milling
MDLZ,Mondelez International Inc. Class A Common Stock,$64.76,-0.33,-0.507%,88287751541.00,United States,,4065424,Consumer Staples,Meat/Poultry/Fish
MNST,Monster Beverage Corporation,$102.00,-1.12,-1.086%,53256776112.00,United States,,1387449,Consumer Staples,Beverages (Production/Distribution)
PEP,PepsiCo Inc. Common Stock,$171.80,-1.31,-0.757%,236611776089.00,United States,,4041586,Consumer Staples,Beverages (Production/Distribution)
WBA,Walgreens Boots Alliance Inc. Common Stock,$33.29,-1.19,-3.451%,28712743313.00,United States,,7441448,Consumer Staples,Retail-Drug Stores and Proprietary Stores
