Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CSCO,Cisco Systems Inc. Common Stock (DE),$48.81,-0.30,-0.611%,200516510505.00,United States,1990,12494093,Telecommunications,Computer Communications Equipment
TMUS,T-Mobile US Inc. Common Stock,$141.09,-2.09,-1.46%,172042762990.00,United States,,5816491,Telecommunications,Telecommunications Equipment
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$14.77,-0.57,-3.716%,35867409142.00,United States,,19334408,Telecommunications,Cable & Other Pay Television Services
