Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$24.65,-0.16,-0.645%,0.00,United States,,1104,Real Estate,Real Estate Investment Trusts
SQFT,Presidio Property Trust Inc. Class A Common Stock,$1.08,0.00,0.00%,13211798.00,United States,2020,25997,Real Estate,Real Estate Investment Trusts
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,$19.45,-0.45,-2.261%,0.00,United States,,2307,Real Estate,Real Estate Investment Trusts
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,$0.0661,0.0074,12.606%,0.00,United States,,14169,Real Estate,Real Estate Investment Trusts
STRS,Stratus Properties Inc. Common Stock,$20.40,-0.82,-3.864%,166877957.00,United States,,22311,Real Estate,Homebuilding
SVC,Service Properties Trust Common Stock,$10.54,-0.72,-6.394%,1743878067.00,United States,,933505,Real Estate,Real Estate Investment Trusts
UNIT,Uniti Group Inc. Common Stock,$4.33,-0.18,-3.991%,1027076217.00,United States,,5999218,Real Estate,Real Estate Investment Trusts
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,$1.58,-0.09,-5.389%,15473721.00,United States,2012,16142,Real Estate,Real Estate Investment Trusts
WHLRD,Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock,$12.67,0.02,0.158%,0.00,United States,,852,Real Estate,Real Estate Investment Trusts
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$1.755,0.0751,4.471%,0.00,United States,,1761,Real Estate,Real Estate Investment Trusts
