Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AGNC,AGNC Investment Corp. Common Stock,$10.45,-0.36,-3.33%,6005615000.00,United States,2008,12217428,Real Estate,Real Estate Investment Trusts
NYMT,New York Mortgage Trust Inc. Common Stock,$9.17,-0.43,-4.479%,3402650479.00,United States,,1869071,Real Estate,Real Estate Investment Trusts
PCH,PotlatchDeltic Corporation Common Stock,$47.85,0.30,0.631%,3812815712.00,United States,,506519,Real Estate,Real Estate Investment Trusts
PECO,Phillips Edison & Company Inc. Common Stock,$32.76,-0.79,-2.355%,3837047760.00,United States,2021,733620,Real Estate,Real Estate Investment Trusts
SBRA,Sabra Health Care REIT Inc. Common Stock,$11.57,-0.31,-2.609%,2672399331.00,United States,,1852597,Real Estate,Real Estate Investment Trusts
