Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CWST,Casella Waste Systems Inc. Class A Common Stock,$77.91,-0.23,-0.294%,4028251940.00,United States,1997,241320,Utilities,Environmental Services
FLNC,Fluence Energy Inc. Class A Common Stock,$19.55,-0.81,-3.978%,3349240801.00,United States,2021,723223,Utilities,Power Generation
MGEE,MGE Energy Inc,$70.71,-0.12,-0.169%,2557111893.00,United States,,55943,Utilities,Power Generation
NFE,New Fortress Energy Inc. Class A Common Stock,$32.86,-0.98,-2.896%,6860185092.00,United States,2019,1370811,Utilities,Oil/Gas Transmission
NWE,NorthWestern Corporation Common Stock,$56.49,-0.77,-1.345%,3376306861.00,United States,,206715,Utilities,Power Generation
OTTR,Otter Tail Corporation Common Stock,$70.67,-0.89,-1.244%,2942116691.00,United States,,241068,Utilities,Electric Utilities: Central
PI,Impinj Inc. Common Stock,$133.94,-2.65,-1.94%,3503480501.00,United States,2016,358203,Utilities,Telecommunications Equipment
SRCL,Stericycle Inc. Common Stock,$44.90,-1.21,-2.624%,4139071433.00,United States,1996,296132,Utilities,Environmental Services
