Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$19.81,-0.21,-1.049%,2519737288.00,United States,1999,736113,Energy,Coal Mining
CHRD,Chord Energy Corporation Common Stock,$138.34,-2.78,-1.97%,5755802261.00,United States,,662840,Energy,Oil & Gas Production
HPK,HighPeak Energy Inc. Common Stock,$24.20,-2.25,-8.507%,2738540413.00,United States,,386865,Energy,Oil & Gas Production
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$12.94,-0.21,-1.597%,9036424944.00,United States,1998,3147927,Energy,Oil & Gas Production
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,$13.58,-0.20,-1.451%,2638404776.00,United States,,1437276,Energy,Oil & Gas Production
PDCE,PDC Energy Inc. Common Stock (Delaware),$66.94,-1.26,-1.848%,6168163741.00,United States,,988576,Energy,Oil & Gas Production
PTEN,Patterson-UTI Energy Inc. Common Stock,$13.31,-1.11,-7.698%,2843759869.00,United States,1993,3731268,Energy,Oil & Gas Production
VNOM,Viper Energy Partners LP Common Unit,$29.06,-0.19,-0.65%,2155820197.00,United States,2014,360024,Energy,Oil & Gas Production
