Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ATLX,Atlas Lithium Corporation Common Stock,$16.74,-0.91,-5.156%,98561169.00,United States,,220955,Basic Materials,Precious Metals
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$0.3209,-0.0142,-4.238%,16096357.00,United States,2018,2294889,Basic Materials,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.05,-0.001,-1.961%,0.00,United States,,18235,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.0329,-0.0067,-16.919%,0.00,United States,2018,259711,Basic Materials,Precious Metals
PLL,Piedmont Lithium Inc. Common Stock,$56.71,-2.82,-4.737%,1021360030.00,United States,,798420,Basic Materials,Other Metals and Minerals
USAU,U.S. Gold Corp. Common Stock,$3.90,0.01,0.257%,32618286.00,United States,,8571,Basic Materials,Precious Metals
